entity,thing,type1
Huey Long,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Chris Christie,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Benjamin Disraeli,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Silvio Berlusconi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Arvind Kejriwal,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Uday Hussein,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Pablo Neruda,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Cyril Ramaphosa,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Nicolas Sarkozy,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Robert Byrd,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Joko Widodo,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Viktor Orbán,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mauricio Macri,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Hubert Humphrey,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
David Ben-Gurion,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Moon Jae-in,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Earl Warren,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Fred Thompson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Yuri Andropov,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Sheikh Mujibur Rahman,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Bobby Jindal,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Vidkun Quisling,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Shirley Chisholm,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Priyanka Gandhi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Marcus Licinius Crassus,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Nawaz Sharif,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Malcolm Turnbull,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Fulgencio Batista,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Larry Hogan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Sadiq Khan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Patrice Lumumba,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Hancock,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lala Lajpat Rai,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Maithripala Sirisena,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Marine Le Pen,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Golda Meir,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Daniel Webster,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Eliot Spitzer,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alberto Fujimori,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
C. Rajagopalachari,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
William Jennings Bryan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Michael Portillo,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jacob Zuma,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
François Hollande,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lee Hsien Loong,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ayaan Hirsi Ali,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Hu Jintao,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Beau Biden,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
L.K. Advani,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
José Mujica,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Salvador Allende,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
James Callaghan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Cardinal Richelieu,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Robert Peel,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
William Wilberforce,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Corazon Aquino,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mahmoud Ahmadinejad,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Pervez Musharraf,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Patrick Henry,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
 Dadabhai Naoroji,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Konrad Adenauer,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Matt Bevin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Kwame Nkrumah,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Yitzhak Rabin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jiang Zemin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Thaddeus Stevens,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Pranab Mukherjee,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Adlai Stevenson II,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ariel Sharon,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
William Pitt the Younger,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
François Mitterrand,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Rob Ford,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
K. Kamaraj ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jean Chretien,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Julia Gillard,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Tsai Ing-wen,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Henry A. Wallace,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Nathan Deal,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jacques Chirac,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jayaprakash Narayan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Park Geun-hye,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
William Ewart Gladstone,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Helmut Kohl,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Paul Biya,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
V P Singh,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Tony Abbott,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Enver Hoxha,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Doug Ducey ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
H. H. Asquith,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Cristina Fernández de Kirchner,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Robert Walpole,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Miguel Díaz-Canel,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Shimon Peres,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Hassan Rouhani,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Enoch Powell,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Samuel Pepys,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Meriwether Lewis,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mohamed Morsi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Yoweri Museveni,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Howard ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Anwar Ibrahim,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Winnie Madikizela-Mandela,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Stanley Baldwin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Napoleon Bonaparte,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Olusegun Obasanjo,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
K. R. Narayanan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Michele Bachmann,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Gulzarilal Nanda,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Liaquat Ali Khan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jomo Kenyatta,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ellen Johnson Sirleaf ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Benigno Aquino III,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Paul Richard LePage,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Willy Brandt,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Nursultan Nazarbayev,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Gaius Marius,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ramon Magsaysay ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Moshe Dayan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Uhuru Kenyatta,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Madan Mohan Malaviya,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Harold Holt,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Emmerson Mnangagwa,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Gopal Krishna Gokhale,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Nance Garner,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Solon,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Sirimavo Bandaranaike,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Marion Barry,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ashraf Ghani,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alexander Kerensky,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
I. K. Gujral,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alan K. Simpson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ramsay MacDonald,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ahmad Shah Massoud,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Hamid Karzai,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Goodluck Jonathan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Sam Brownback,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Tommy Douglas,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Charles Sumner,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Bel Edwards,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Hun Sen,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ethan Allen,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Thaksin Shinawatra,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Hannibal Hamlin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Luigi Di Maio,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Syngman Rhee,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jaswant Singh,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Kurt Waldheim,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Eugene McCarthy,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Foster Dulles,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mikhail Prokhorov,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
"William Pitt, 1st Earl of Chatham",political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Nikol Pashinyan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Boutros Boutros-Ghali,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Eldridge Cleaver,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Zhao Ziyang,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lester B. Pearson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Joshua Chamberlain,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Barbara Jordan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Paul Keating,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Pauline Hanson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Aneurin Bevan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ilham Aliyev,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Salmon P Chase,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Chief Seattle,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Joe Clark,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jean-Claude Duvalier,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John C. Breckinridge,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Sam Rayburn,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Arthur Balfour,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Edi Rama,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Reuven Rivlin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Charles Stewart Parnell,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Zail Singh,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Giuseppe Mazzini,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Gough Whitlam,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Elbridge Gerry,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Graça Machel,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Chandrika Kumaratunga ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Fiorello H. La Guardia,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Charles Curtis,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
James Connolly,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Kim Yo-jong,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Tunku Abdul Rahman,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Matteo Renzi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Terry Branstad,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Klaus Iohannis,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Georges Pompidou,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Michael Steele,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Nandan Nilekani,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Robert Menzies,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Gustav Stresemann,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Benjamin Rush,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Adam Clayton Powell Jr.,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lenín Moreno,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Hussain Muhammad Ershad,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Pete Buttigieg,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Raila Odinga,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mariano Rajoy,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
David Ige,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Peter Garrett,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Sardar Vallabhbhai Patel,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Rafael Correa,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alan Keyes,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mohammad Najibullah,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Sebastian Coe,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Fatima Jinnah,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Anthony Wayne,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ion Iliescu,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ma Ying-jeou,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alben W. Barkley,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Curtin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Turner,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Lindsay,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ségolène Royal,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lim Guan Eng,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Iskander Mirza,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
William R. King,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alexei Kosygin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
James Wilson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jean-Bertrand Aristide,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
King James I,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
William Ruto,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Haider al-Abadi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Robert Winston,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Cordell Hull,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Kenneth Kaunda,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Heydar Aliyev ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Schuyler Colfax,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
David Blunkett,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Abdullah Ahmad Badawi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Wang Jingwei (Wang Ching-wei),political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Butch Otter,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Tshering Tobgay,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Marion Maréchal-Le Pen,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Tom Ridge,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
V. K. Krishna Menon,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Chittaranjan Das,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ranasinghe Premadasa ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Léopold Sédar Senghor,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alfredo Stroessner,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Everett McKinley Dirksen,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mohammed bin Salman,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Nicholas II,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Léon Blum,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Key,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alan Cranston,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Canaan Banana,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
James G. Blaine,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Rab Butler,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Adlai Stevenson I,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Julius Maada Bio,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Nouri Al-Maliki,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Akbar Hashemi Rafsanjani,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Carl Albert,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alf Landon,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Bidhan Chandra Roy,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Wilkes,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Khan Abdul Ghaffar Khan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Walid Jumblatt,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
J. B. Kirpalani,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Hume,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Charles G. Dawes,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Agnes Macphail,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Penny Wong,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Richard Mentor Johnson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Govind Ballabh Pant,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lord Mountbatten,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
George Canning,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ralph Bunche,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Garang,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Norman Thomas,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Martti Oiva Kalevi Ahtisaari,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mohamed Nasheed,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
James L. Buckley,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ahmed Ben Bella,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Khawaja Nazimuddin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
David Trimble,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Omar Torrijos,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lon Nol,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Henry Wilson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ernest Bevin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Gloria Macapagal-Arroyo,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Tony Tan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Clement Vallandigham ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ahmed Chalabi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ahmadou Ahidjo,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
J. R. Jayewardene,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Don Stephen Senanayake,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Garret Hobart,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Hussein Onn,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Charles W. Fairbanks,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mark White,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Trygve Lie,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Morgan Tsvangirai,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Levi P. Morton,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Austen Chamberlain,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Agostinho Neto,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Daniel D. Tompkins,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Violeta Chamorro,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
